                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0779,                  3.073,                 1.9058,                0.55325,                0.66938,                0.57536,                0.32252,                 1.6915,                  1.746,                 1.7107,                  0.082,                  0.002,                  0.002
                      1,                 1.7608,                 1.4402,                 1.6357,                0.64256,                0.74892,                0.68532,                0.37306,                 1.6053,                 1.2839,                  1.592,               0.063049,              0.0040493,              0.0040493
                      2,                 1.6276,                 1.2746,                 1.5337,                0.69939,                0.79257,                0.78325,                0.40642,                 1.5458,                 1.1689,                 1.5369,               0.044047,              0.0060465,              0.0060465
                      3,                 1.5869,                 1.2803,                  1.449,                0.83578,                0.83556,                0.87537,                0.43359,                 1.5691,                  1.343,                 1.4744,               0.024992,              0.0079919,              0.0079919
                      4,                 1.5748,                 1.3198,                 1.3996,                0.77266,                0.84718,                0.82367,                0.41901,                 1.5537,                 1.0496,                 1.4654,               0.009505,               0.009505,               0.009505
                      5,                 1.5324,                 1.0986,                 1.4246,                0.62482,                 0.8973,                0.84658,                0.44466,                  1.531,                  1.305,                 1.4562,               0.009505,               0.009505,               0.009505
                      6,                 1.5452,                 1.1304,                 1.4215,                0.83733,                0.80378,                 0.8589,                0.42069,                  1.501,                 1.6431,                 1.4983,              0.0093813,              0.0093813,              0.0093813
                      7,                 1.5079,                0.95535,                 1.4085,                0.82658,                0.84194,                  0.857,                0.42275,                 1.5871,                 1.0563,                  1.512,              0.0092575,              0.0092575,              0.0092575
                      8,                 1.5138,                0.94046,                 1.4114,                0.80115,                0.82354,                0.90518,                0.44784,                 1.5206,                 1.1291,                 1.5084,              0.0091337,              0.0091337,              0.0091337
                      9,                 1.5238,                0.91529,                 1.4178,                0.82126,                0.84013,                0.85414,                0.43995,                 1.5319,                0.98677,                 1.4754,                0.00901,                0.00901,                0.00901
                     10,                 1.4877,                0.90319,                 1.4119,                0.77979,                0.75533,                 0.7839,                0.38892,                  1.631,                0.95578,                  1.538,              0.0088863,              0.0088863,              0.0088863
                     11,                 1.4638,                 0.8568,                 1.3943,                0.86804,                0.77857,                  0.822,                0.43296,                 1.5725,                0.78835,                 1.5051,              0.0087625,              0.0087625,              0.0087625
                     12,                 1.4811,                0.83145,                 1.3893,                0.77553,                0.83458,                 0.8276,                0.41294,                 1.6569,                0.90843,                 1.5286,              0.0086388,              0.0086388,              0.0086388
                     13,                 1.4767,                0.81385,                 1.4092,                 0.8399,                 0.8673,                0.84312,                 0.4391,                 1.5922,                0.86975,                 1.5014,               0.008515,               0.008515,               0.008515
                     14,                 1.4552,                0.83316,                  1.368,                 0.8759,                0.79649,                0.84219,                0.43319,                 1.6227,                0.86452,                   1.55,              0.0083913,              0.0083913,              0.0083913
                     15,                 1.4619,                0.82901,                 1.3841,                  0.822,                0.83197,                0.83687,                0.43534,                  1.529,                0.79409,                 1.4915,              0.0082675,              0.0082675,              0.0082675
                     16,                 1.4228,                0.81537,                  1.352,                0.86405,                0.86702,                0.87837,                0.42908,                 1.5942,                0.77512,                 1.5178,              0.0081437,              0.0081437,              0.0081437
                     17,                 1.4297,                0.80248,                 1.3596,                0.88473,                 0.9212,                0.91654,                0.47872,                 1.5723,                0.68036,                 1.4841,                0.00802,                0.00802,                0.00802
                     18,                 1.4132,                0.80318,                 1.3573,                0.82932,                0.91395,                0.89817,                0.49544,                 1.5214,                0.72827,                 1.4892,              0.0078963,              0.0078963,              0.0078963
                     19,                 1.4347,                0.76699,                 1.3891,                0.86591,                0.86849,                0.87994,                0.44482,                 1.6509,                0.78839,                 1.5573,              0.0077725,              0.0077725,              0.0077725
                     20,                 1.4221,                0.78869,                 1.3806,                 0.8461,                0.88496,                0.86104,                0.45748,                 1.5694,                0.74629,                 1.5371,              0.0076488,              0.0076488,              0.0076488
                     21,                 1.3799,                0.73835,                 1.3441,                0.84955,                0.83288,                0.84306,                0.44156,                 1.5653,                0.72455,                 1.5331,               0.007525,               0.007525,               0.007525
                     22,                 1.3881,                0.75763,                 1.3576,                0.88654,                0.86769,                0.88022,                0.43978,                  1.625,                0.72004,                 1.5484,              0.0074013,              0.0074013,              0.0074013
                     23,                 1.3663,                0.72969,                  1.347,                0.89814,                0.86659,                0.89654,                0.43722,                 1.6367,                0.74136,                 1.5621,              0.0072775,              0.0072775,              0.0072775
                     24,                 1.3533,                0.75939,                 1.3146,                0.86947,                0.87575,                0.81633,                  0.409,                 1.6143,                0.78789,                 1.5555,              0.0071538,              0.0071538,              0.0071538
                     25,                 1.3486,                0.73608,                 1.3293,                0.85237,                0.85034,                0.83349,                0.40638,                 1.6459,                0.77905,                 1.5774,                0.00703,                0.00703,                0.00703
                     26,                 1.3668,                0.72062,                 1.3217,                0.89251,                0.87657,                0.88058,                0.45627,                 1.5773,                 0.7205,                 1.5441,              0.0069063,              0.0069063,              0.0069063
                     27,                  1.379,                 0.7212,                 1.3407,                0.87911,                0.88705,                0.88573,                0.46533,                 1.6104,                 0.7143,                  1.565,              0.0067825,              0.0067825,              0.0067825
                     28,                 1.3088,                0.70169,                 1.3003,                0.86217,                0.90036,                0.90695,                0.44975,                 1.6167,                0.67898,                 1.5659,              0.0066587,              0.0066587,              0.0066587
